,Consumer Price Index for All Urban Consumers: All Items,State Tax Collections: T01 Property Taxes,Combined Violent and Property Crime,Resident Population,Total Gross Domestic Product,Per Capita Personal Income,housing prices,Unemployment Rate
"California, MD",0,1,1,1,1,1,1,1
"McAlester, OK",0,1,1,0,0,0,1,0
"Bowling Green, KY",0,1,1,1,1,1,1,1
"Bangor, ME",0,1,1,1,1,1,1,0
"Rochester, MN",0,1,1,1,1,1,1,1
"Van Wert, OH",0,1,1,0,0,0,1,0
"Jackson, OH",0,1,1,0,0,0,1,0
"Urban Honolulu, HI",0,0,0,1,1,1,1,1
"Fort Collins, CO",0,1,1,1,1,1,1,1
"Salisbury, DE",0,0,0,1,1,1,1,1
"Lynchburg, VA",0,1,0,1,1,1,1,1
"Mount Sterling, KY",0,1,1,0,0,0,1,0
"Santa Maria, CA",0,1,1,1,1,1,1,1
"New Bern, NC",0,1,1,1,1,1,1,1
"Rochester, NY",0,1,1,1,1,1,1,1
"Santa Rosa, CA",0,1,1,1,1,1,1,1
"Camden, AR",0,1,1,0,0,0,1,0
"Raleigh, NC",0,1,1,1,1,1,1,1
"Augusta, GA",0,0,0,1,1,1,1,1
"Hagerstown, MD",0,1,1,1,1,1,1,1
"Hickory, NC",0,1,1,1,1,1,1,1
"Cortland, NY",0,1,1,0,0,0,1,0
"Show Low, AZ",0,1,1,0,0,0,1,0
"Toledo, OH",0,1,1,1,1,1,1,1
"Charleston, WV",0,1,1,1,1,1,1,1
"Virginia Beach, VA",0,1,0,1,1,1,1,1
"Malone, NY",0,0,0,0,0,0,1,0
"Cleveland, OH",1,1,0,1,1,1,1,1
"Knoxville, TN",0,1,1,1,1,1,1,1
"Winston, NC",0,0,0,1,1,1,1,1
"Macon, GA",0,0,1,1,1,1,1,1
"Lafayette, IN",0,1,1,1,1,1,1,1
"Sevierville, TN",0,1,1,0,0,0,1,0
"Arcadia, FL",0,1,1,0,0,0,1,0
"Washington Court House, OH",0,1,1,0,0,0,1,0
"Sebastian, FL",0,1,1,1,1,1,1,1
"Brunswick, GA",0,0,1,1,1,1,1,1
"Washington, VA",1,1,1,1,1,1,1,1
"Saginaw, MI",0,1,1,1,1,1,1,1
"Louisville, KY",0,1,1,1,1,1,1,1
"Salinas, CA",0,1,1,1,1,1,1,1
"Lufkin, TX",0,1,1,0,0,0,1,0
"Memphis, TN",0,1,1,1,1,1,1,1
"Traverse City, MI",0,1,1,0,0,0,1,0
"Sanford, NC",0,1,1,0,0,0,1,0
"Cookeville, TN",0,1,1,0,0,0,1,0
"Meadville, PA",0,1,0,0,0,0,1,0
"Tuscaloosa, AL",0,1,1,1,1,1,1,1
"Deltona, FL",0,1,1,1,1,1,1,1
"Jonesboro, AR",0,1,1,1,1,1,1,1
"Shelbyville, TN",0,1,1,0,0,0,1,0
"Las Vegas, NV",0,1,0,1,1,1,1,1
"Modesto, CA",0,1,1,1,1,1,1,1
"Rockford, IL",0,1,1,1,1,1,1,1
"Medford, OR",0,1,1,1,1,1,1,1
"Ashtabula, OH",0,1,1,0,0,0,1,0
"Brookings, OR",0,1,1,0,0,0,1,0
"Chillicothe, OH",0,1,1,0,0,0,1,0
"San Antonio, TX",0,1,1,1,1,1,1,1
"Frankfort, KY",0,1,1,0,0,0,1,0
"Kalamazoo, MI",0,1,1,1,1,1,1,1
"Bloomington, IL",0,1,1,1,1,1,1,1
"Gainesville, FL",0,1,1,1,1,1,1,1
"Battle Creek, MI",0,1,1,1,1,1,1,1
"Berlin, NH",0,1,0,0,0,0,1,0
"Cordele, GA",0,0,1,0,0,0,1,0
"Bridgeport, CT",0,1,0,1,1,1,1,0
"Winchester, VA",0,1,0,1,1,1,1,1
"Hilton Head Island, SC",0,1,1,1,1,1,1,1
"Chicago, IL",1,1,1,1,1,1,1,1
"El Paso, TX",0,1,1,1,1,1,1,1
"Orlando, FL",0,1,1,1,1,1,1,1
"Kahului, HI",0,1,1,1,1,1,1,1
"New York, NY",1,1,0,1,1,1,1,1
"Savannah, GA",0,0,1,1,1,1,1,1
"Greeley, CO",1,1,1,1,1,1,1,1
"Somerset, KY",0,1,1,0,0,0,1,0
"Marietta, OH",0,1,1,0,0,0,1,0
"Lincoln, NE",0,1,1,1,1,1,1,1
"Seattle, WA",1,0,1,1,1,1,1,1
"Greenville, SC",0,1,1,1,1,1,1,1
"Gainesville, GA",0,0,1,1,1,1,1,1
"Vineland, NJ",0,1,1,1,1,1,1,1
"Danville, VA",0,1,0,1,0,1,1,1
"Sterling, CO",0,1,1,0,0,0,1,0
"Wheeling, OH",0,0,0,1,1,1,1,1
"Sacramento, CA",0,1,1,1,1,1,1,1
"Ogdensburg, NY",0,1,1,0,0,0,1,0
"Adrian, MI",0,1,1,0,0,0,1,0
"Dublin, GA",0,0,1,0,0,0,1,0
"Gloversville, NY",0,1,1,0,0,0,1,0
"Binghamton, NY",0,1,1,1,1,1,1,1
"Boston, MA",1,1,0,1,1,1,1,0
"Tullahoma, TN",0,1,1,0,0,0,1,0
"Austin, MN",0,1,1,0,0,0,1,0
"Milwaukee, WI",1,1,1,1,1,1,1,1
"Glenwood Springs, CO",0,1,1,0,0,0,1,0
"Jackson, TN",0,1,1,1,1,1,1,1
"Salem, OR",1,1,1,1,1,1,1,1
"Cincinnati, OH",1,1,1,1,1,1,1,1
"Pittsfield, MA",0,1,0,1,1,1,1,0
"Fremont, OH",0,1,1,0,0,0,1,0
"Ithaca, NY",0,1,1,1,1,1,1,1
"Carson City, NV",0,1,0,1,1,1,1,1
"Oil City, PA",0,1,0,0,0,0,1,0
"Colorado Springs, CO",0,1,1,1,1,1,1,1
"New Haven, CT",0,1,0,1,1,1,1,0
"Idaho Falls, ID",0,1,1,1,1,1,1,1
"Springfield, OH",0,1,1,1,1,1,1,1
"Youngstown, OH",0,1,1,1,1,1,1,1
"Riverside, CA",1,1,1,1,1,1,1,1
"New Orleans, LA",0,1,0,1,1,1,1,1
"Waycross, GA",0,0,1,0,0,0,1,0
"Niles, MI",0,1,1,1,1,1,1,1
"Ogden, UT",0,1,1,1,1,1,1,1
"Buffalo, NY",0,1,1,1,1,1,1,1
"Los Angeles, CA",1,1,1,1,1,1,1,1
"Topeka, KS",0,1,1,1,1,1,1,1
"Miami, FL",1,1,1,1,1,1,1,1
"Payson, AZ",0,1,1,0,0,0,1,0
"Allentown, PA",0,1,0,1,1,1,1,1
"Atlantic City, NJ",0,1,1,1,1,1,1,1
"Houston, TX",1,1,1,1,1,1,1,1
"Columbus, OH",0,1,1,1,1,1,1,1
"Philadelphia, PA",1,1,0,1,1,1,1,1
"Midland, MI",0,1,1,1,1,1,1,1
